Numero_dossier_ID,Client,Formule,date.ouverture,heure.ouverture,Matricule.de.traitement,Cause.intervention,date.de.survenance,Type.d.energie,Outil.d.assistance,Assistance.ou.Administratif,TOP.D.R,TOP.VR,TOP.Rappat.valide,TOP.Poursuite,TOP.Recup,TOP.Autres.Garanties,flag_auto_creation,mois_ouverture,temps_total_sec,nb_intervenants,temps_total_min,Apprentissage_Test,mois
7494402,C5,F99,2021-02-11,10:38:00,326,Panne mécanique,2021-02-11,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-02,623.0,1.0,10.383333333333333,Apprentissage,2021-02
7569082,C4,F14,2022-07-12,18:40:00,1164,Panne mécanique,2022-07-12,Essence,MCS,,1,0,0,0,0,0,0,2022-07,284.0,1.0,4.733333333333333,Apprentissage,2022-07
8111190,C0,F1,2021-01-08,12:32:00,1337,Panne mécanique,2021-01-08,Essence,MCS,Assistance,1,1,0,0,0,0,0,2021-01,1849.0,7.0,30.816666666666666,Apprentissage,2021-01
5630809,C7,F72,2021-11-08,19:46:00,1322,Panne mécanique,2021-11-08,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-11,988.0,1.0,16.466666666666665,Apprentissage,2021-11
8179409,C4,F4,2021-08-11,18:12:00,2306,Panne mécanique,2021-08-11,Essence,Higgins,,1,0,0,0,0,0,0,2021-08,1133.0,2.0,18.883333333333333,Apprentissage,2021-08
7140692,C1,F0,2022-06-08,18:02:00,527,Panne mécanique,2022-06-08,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-06,664.0,2.0,11.066666666666666,Apprentissage,2022-06
7672949,C1,,2021-07-24,25:00:00,1086,"Clés, Carburant, Crevaison",2021-07-24,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2021-07,3121.0,8.0,52.016666666666666,Apprentissage,2021-07
6869751,C4,F4,2021-12-10,10:42:00,455,Accident,2021-12-10,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-12,992.0,1.0,16.533333333333335,Apprentissage,2021-12
6466938,C11,F25,2022-11-12,17:05:00,556,Panne mécanique,2022-11-12,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-11,250.0,1.0,4.166666666666667,Apprentissage,2022-11
7243702,C16,F38,2021-09-13,08:52:00,613,Panne mécanique,2021-09-13,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-09,294.0,1.0,4.9,Apprentissage,2021-09
