,importance
nb_intervenants,0.7288081047532844
Formule_F154,0.0880327116383828
Cause.intervention_Panne mécanique,0.03917182228246249
Cause.intervention_Autres,0.02428948685052062
TOP.VR,0.017467676167866066
Client_C10,0.016522358667057046
Outil.d.assistance_MCS,0.012474209329268113
mois,0.012376880946187762
TOP.Rappat.valide,0.007233542355678386
Formule_F27,0.004616170715197156
Client_C16,0.004056244102812603
TOP.Recup,0.002835610236784202
TOP.D.R,0.002621704102127451
Client_C2,0.0025644803342408915
TOP.Poursuite,0.002253376139050421
Type.d.energie_Essence,0.001987625351222052
Formule_F38,0.00157706074221233
Formule_F46,0.0015634037779737801
Formule_F120,0.0014436510121724302
Formule_F4,0.0012395934508275704
